Region,Year,Number,Mature Planted area Hectare,Immature Planted area Hectare,Average hectareage tapped Hectare,Production Tonnes,Yield per hectare Kilogram
Malaysia,2006,213,47998,6155,44860,68397,1525
Malaysia,2007,197,45342,7338,43741,65472,1497
Malaysia,2008,196,44426,6464,42137,59593,1414
Malaysia,2009,185,42616,7124,40532,56774,1401
Malaysia,2010,188,41357,8509,40586,56337,1388
Malaysia,2011,188,40826,9035,38484,53016,1378
Malaysia,2012,172,45548,20387,41613,58757,1412
Malaysia,2013,173,44725,32686,41207,57394,1393
Malaysia,2014,184,42589,37495,39276,55769,1420
Malaysia,2015,163,43201,32631,39730,56821,1430
Malaysia,2016,147,41542,35863,38613,53036,1374
Malaysia,2017,135,39759,35355,38222,49321,1290
Malaysia,2018,131,51520,21941,39486,55453,1404
Malaysia,2019,156,62262,33092,43533,61227,1406
Malaysia,2020,133,58817,32196,43234,56421,1305
